fips,county_name,state_code,year,fmr_0br,fmr_1br,fmr_2br,fmr_3br,fmr_4br
0900332640,,CT,2017,782,971,1212,1516,1707
0900133620,,CT,2017,1242,1539,1958,2485,2934
0901133900,,CT,2017,748,832,1077,1440,1645
0901134250,,CT,2017,748,832,1077,1440,1645
0900934950,,CT,2017,968,1093,1325,1708,2013
0900735230,,CT,2017,782,971,1212,1516,1707
0900935650,,CT,2017,968,1093,1325,1708,2013
0901536000,,CT,2017,665,725,939,1175,1294
0900337070,,CT,2017,782,971,1212,1516,1707
0900337140,,CT,2017,782,971,1212,1516,1707
0900537280,,CT,2017,695,868,1095,1400,1509
0901337910,,CT,2017,782,971,1212,1516,1707
0900540290,,CT,2017,695,868,1095,1400,1509
0901540500,,CT,2017,665,725,939,1175,1294
0900740710,,CT,2017,886,1029,1367,1990,2051
0901142390,,CT,2017,809,865,1150,1452,1699
0901142600,,CT,2017,748,832,1077,1440,1645
0901143230,,CT,2017,748,832,1077,1440,1645
0900543370,,CT,2017,695,868,1095,1400,1509
0901144210,,CT,2017,748,832,1077,1440,1645
0900944560,,CT,2017,968,1093,1325,1708,2013
0900344700,,CT,2017,782,971,1212,1516,1707
0901344910,,CT,2017,782,971,1212,1516,1707
0900345820,,CT,2017,782,971,1212,1516,1707
0900946520,,CT,2017,968,1093,1325,1708,2013
0900946940,,CT,2017,631,801,994,1244,1394
0900747080,,CT,2017,782,971,1212,1516,1707
0900747360,,CT,2017,782,971,1212,1516,1707
0900947535,,CT,2017,986,1046,1295,1620,1897
0900148620,,CT,2017,834,990,1243,1572,1878
0901148900,,CT,2017,748,832,1077,1440,1645
0900549460,,CT,2017,695,868,1095,1400,1509
0900949950,,CT,2017,631,801,994,1244,1394
0900350440,,CT,2017,782,971,1212,1516,1707
0900150580,,CT,2017,1242,1539,1958,2485,2934
0900150860,,CT,2017,888,1103,1377,1723,2161
0900551350,,CT,2017,695,868,1095,1400,1509
0900952070,,CT,2017,968,1093,1325,1708,2013
0901152350,,CT,2017,748,832,1077,1440,1645
0900552630,,CT,2017,695,868,1095,1400,1509
0900352140,,CT,2017,782,971,1212,1516,1707
0900152980,,CT,2017,888,1103,1377,1723,2161
0900553470,,CT,2017,695,868,1095,1400,1509
0900953890,,CT,2017,968,1093,1325,1708,2013
0900554030,,CT,2017,695,868,1095,1400,1509
0900954870,,CT,2017,968,1093,1325,1708,2013
0901155500,,CT,2017,748,832,1077,1440,1645
0900156060,,CT,2017,1242,1539,1958,2485,2934
0901156270,,CT,2017,748,832,1077,1440,1645
0901157040,,CT,2017,748,832,1077,1440,1645
0900757320,,CT,2017,886,1029,1367,1990,2051
0900957600,,CT,2017,968,1093,1325,1708,2013
0900958300,,CT,2017,986,1046,1295,1620,1897
0901559980,,CT,2017,665,725,939,1175,1294
0900360120,,CT,2017,782,971,1212,1516,1707
0900560750,,CT,2017,695,868,1095,1400,1509
0901561030,,CT,2017,665,725,939,1175,1294
0900761800,,CT,2017,782,971,1212,1516,1707
0901162150,,CT,2017,748,832,1077,1440,1645
0900962290,,CT,2017,631,801,994,1244,1394
0901562710,,CT,2017,665,725,939,1175,1294
0900163480,,CT,2017,888,1103,1377,1723,2161
0900163970,,CT,2017,888,1103,1377,1723,2161
0900365370,,CT,2017,782,971,1212,1516,1707
0900565930,,CT,2017,695,868,1095,1400,1509
0901166210,,CT,2017,748,832,1077,1440,1645
0900566420,,CT,2017,695,868,1095,1400,1509
0901567400,,CT,2017,665,725,939,1175,1294
0900967610,,CT,2017,986,1046,1295,1620,1897
0900567960,,CT,2017,695,868,1095,1400,1509
0900168170,,CT,2017,834,990,1243,1572,1878
0900168310,,CT,2017,888,1103,1377,1723,2161
0900368940,,CT,2017,782,971,1212,1516,1707
0901369220,,CT,2017,782,971,1212,1516,1707
0900371390,,CT,2017,782,971,1212,1516,1707
0900969640,,CT,2017,631,801,994,1244,1394
0900370550,,CT,2017,782,971,1212,1516,1707
0901171670,,CT,2017,748,832,1077,1440,1645
0901372090,,CT,2017,782,971,1212,1516,1707
0900173070,,CT,2017,1242,1539,1958,2485,2934
0901573420,,CT,2017,665,725,939,1175,1294
0901173770,,CT,2017,748,832,1077,1440,1645
0900174190,,CT,2017,834,990,1243,1572,1878
0900374540,,CT,2017,782,971,1212,1516,1707
0900575730,,CT,2017,695,868,1095,1400,1509
0901575870,,CT,2017,665,725,939,1175,1294
0901376290,,CT,2017,782,971,1212,1516,1707
0900576570,,CT,2017,695,868,1095,1400,1509
0900177200,,CT,2017,834,990,1243,1572,1878
0901377830,,CT,2017,782,971,1212,1516,1707
0901378250,,CT,2017,782,971,1212,1516,1707
0901178600,,CT,2017,748,832,1077,1440,1645
0900978740,,CT,2017,968,1093,1325,1708,2013
0900579510,,CT,2017,695,868,1095,1400,1509
0900579720,,CT,2017,695,868,1095,1400,1509
